Date,Open,High,Low,Close,Volume
2025-06-26 00:00:00-04:00,201.43,202.64,199.46,201.0,50799100
2025-06-27 00:00:00-04:00,201.89,203.22,200.0,201.08,73188600
2025-06-30 00:00:00-04:00,202.01,207.39,199.26,205.17,91912800
2025-07-01 00:00:00-04:00,206.67,210.19,206.14,207.82,78788900
2025-07-02 00:00:00-04:00,208.91,213.34,208.14,212.44,67941800
2025-07-03 00:00:00-04:00,212.15,214.65,211.81,213.55,34955800
2025-07-07 00:00:00-04:00,212.68,216.23,208.8,209.95,50229000
2025-07-08 00:00:00-04:00,210.1,211.43,208.45,210.01,42848900
2025-07-09 00:00:00-04:00,209.53,211.33,207.22,211.14,48749400
2025-07-10 00:00:00-04:00,210.51,213.48,210.03,212.41,44443600
2025-07-11 00:00:00-04:00,210.57,212.13,209.86,211.16,39765800
2025-07-14 00:00:00-04:00,209.93,210.91,207.54,208.62,38840100
2025-07-15 00:00:00-04:00,209.22,211.89,208.92,209.11,42296300
2025-07-16 00:00:00-04:00,210.3,212.4,208.64,210.16,47490500
2025-07-17 00:00:00-04:00,210.57,211.8,209.59,210.02,48068100
2025-07-18 00:00:00-04:00,210.87,211.79,209.7,211.18,48974600
2025-07-21 00:00:00-04:00,212.1,215.78,211.63,212.48,51377400
2025-07-22 00:00:00-04:00,213.14,214.95,212.23,214.4,46404100
2025-07-23 00:00:00-04:00,215.0,215.15,212.41,214.15,46989300
2025-07-24 00:00:00-04:00,213.9,215.69,213.53,213.76,46022600
2025-07-25 00:00:00-04:00,214.7,215.24,213.4,213.88,40219700
